username,qz_mean,video_pause_backward_seek_avg,final_score
Y1050274,0.904917912689,-0.662882387285,80.0
Y1050275,0.356573614603,-0.662882387285,20.0
Y1050276,0.904917912689,0.133074899522,40.0
Y1050277,-0.191770683484,2.05663834211,10.0
Y1050278,0.904917912689,-0.344499472563,54.0
Y1050279,0.904917912689,1.95240584102,70.0
Y1050280,-0.191770683484,0.929032186328,10.0
Y1050281,-0.191770683484,-0.662882387285,10.0
Y1050282,-0.191770683484,-0.264903743882,10.0
Y1050283,-0.191770683484,-0.344499472563,20.0
Y1050284,0.904917912689,0.0193667163742,30.0
Y1050285,-1.83680357774,-0.662882387285,0.0
Y1050286,0.904917912689,0.531053542925,72.0
Y1050287,0.904917912689,-0.435466019399,50.0
Y1050288,-1.83680357774,-0.662882387285,0.0
Y1050289,0.904917912689,3.84754223742,60.0
Y1050290,-1.83680357774,-0.662882387285,0.0
Y1050291,0.904917912689,-0.662882387285,40.0
Y1050292,0.904917912689,-0.0659144221802,50.0
Y1050293,0.904917912689,-0.435466019399,80.0
Y1050294,0.904917912689,0.474199450555,40.0
Y1050295,0.356573614603,-0.662882387285,30.0
Y1050296,0.356573614603,-0.662882387285,20.0
Y1050297,-1.83680357774,-0.662882387285,10.0
Y1050298,0.356573614603,0.531053542925,10.0
Y1050299,-1.83680357774,0.133074899522,10.0
Y1050300,0.904917912689,-0.662882387285,10.0
Y1050301,-1.83680357774,-0.173062517991,10.0
Y1050302,-1.83680357774,0.133074899522,10.0
Y1050303,0.904917912689,0.292266356883,20.0
Y1050304,-0.191770683484,0.332064221223,10.0
Y1050305,0.904917912689,-0.132244196611,20.0
Y1050306,-1.83680357774,-0.662882387285,10.0
Y1050307,-1.83680357774,-0.662882387285,10.0
Y1050308,-1.83680357774,1.59931200747,10.0
Y1050309,-1.83680357774,-0.662882387285,0.0
Y1050310,0.904917912689,-0.435466019399,10.0
Y1050311,-0.191770683484,1.14611144579,20.0
Y1050312,-0.191770683484,-0.662882387285,10.0
Y1050313,0.356573614603,-0.662882387285,30.0
Y1050314,0.0824014655595,0.133074899522,30.0
Y1050315,0.356573614603,0.597383317356,20.0
Y1050316,-0.191770683484,0.194302382387,10.0
Y1050317,0.904917912689,0.258752365189,55.0
Y1050318,0.356573614603,0.663713090195,40.0
Y1050319,0.904917912689,0.0446352002799,76.0
Y1050320,0.356573614603,-0.662882387285,10.0
Y1050321,0.356573614603,-0.662882387285,20.0
Y1050322,0.904917912689,0.752152789437,99.0
Y1050323,0.904917912689,0.486833693304,88.0
Y1050324,0.904917912689,0.322588539162,30.0
Y1050325,-0.465942832527,0.663713090195,20.0
Y1050326,-0.191770683484,0.929032186328,20.0
Y1050327,-1.83680357774,-0.662882387285,0.0
Y1050328,0.0824014655595,1.161995294,71.0
Y1050329,-1.5626314287,-0.208049651512,20.0
Y1050330,0.904917912689,-0.530222840015,10.0
Y1050331,0.0824014655595,-0.662882387285,10.0
Y1050332,0.356573614603,0.000415352251024,40.0
Y1050333,0.904917912689,-0.463893065584,10.0
Y1050334,0.0824014655595,0.133074899522,20.0
Y1050335,0.0824014655595,0.554464050799,10.0
Y1050336,0.356573614603,-0.486002990394,50.0
Y1050337,0.0824014655595,-0.662882387285,10.0
Y1050338,-0.191770683484,0.133074899522,10.0
Y1050339,0.904917912689,-0.435466019399,20.0
Y1050340,0.356573614603,0.133074899522,10.0
Y1050341,-0.74011498157,-0.327742476716,20.0
Y1050342,0.356573614603,0.0193667163742,50.0
Y1050343,-1.83680357774,-0.662882387285,0.0
Y1050344,0.356573614603,1.2184712,40.0
Y1050345,-1.28845927966,-0.662882387285,10.0
Y1050346,0.356573614603,-0.662882387285,50.0
Y1050347,0.356573614603,0.0718474166557,20.0
Y1050348,0.904917912689,1.00862791501,10.0
Y1050349,0.904917912689,-0.344499472563,65.0
Y1050350,0.904917912689,0.0446352002799,10.0
Y1050351,0.904917912689,0.0951721712751,70.0
Y1050352,0.904917912689,-0.47559831952,80.0
Y1050353,0.356573614603,1.2641720969,50.0
Y1050354,0.630745763646,0.610649271606,50.0
Y1050355,-0.191770683484,-0.662882387285,10.0
Y1050356,0.356573614603,0.856672433706,30.0
Y1050357,0.356573614603,1.08064309772,20.0
Y1050358,0.904917912689,-0.208049651512,50.0
Y1050359,-0.191770683484,-0.662882387285,20.0
Y1050360,0.904917912689,0.265734446792,30.0
Y1050361,0.630745763646,-0.0659144221802,30.0
Y1050362,0.630745763646,0.0534791708408,80.0
Y1050363,-1.83680357774,-0.662882387285,0.0
Y1050364,0.904917912689,-0.321757836251,72.0
Y1050365,0.904917912689,2.08678823943,96.0
Y1050366,0.904917912689,0.0667451250903,10.0
Y1050367,0.904917912689,-0.264903743882,90.0
Y1050368,0.904917912689,0.133074899522,20.0
Y1050369,0.904917912689,0.133074899522,10.0
Y1050370,0.904917912689,0.684122251681,20.0
Y1050371,0.904917912689,0.822904547557,40.0
Y1050372,0.356573614603,-0.0659144221802,50.0
Y1050373,0.904917912689,-0.295517485315,20.0
Y1050374,0.904917912689,0.292266356883,30.0
Y1050375,0.904917912689,-0.662882387285,30.0
Y1050376,0.904917912689,-0.0791803764296,90.0
Y1050377,0.904917912689,-0.662882387285,40.0
Y1050378,0.356573614603,1.32701082973,93.0
Y1050379,0.904917912689,0.587907635294,60.0
Y1050380,0.356573614603,-0.662882387285,80.0
Y1050381,0.904917912689,0.246783082669,55.0
Y1050382,0.904917912689,0.929032186328,20.0
Y1050383,-0.191770683484,-0.662882387285,10.0
Y1050384,0.904917912689,0.398393995654,30.0
Y1050385,0.904917912689,0.133074899522,40.0
Y1050386,0.904917912689,0.292266356883,30.0
Y1050387,-1.83680357774,0.221514598763,10.0
Y1050388,-0.191770683484,0.292266356883,20.0
Y1050389,-1.83680357774,-0.662882387285,0.0
Y1050390,-0.74011498157,-0.662882387285,10.0
Y1050391,0.356573614603,-0.540427419962,10.0
Y1050392,-0.465942832527,-0.662882387285,20.0
Y1050393,-1.83680357774,-0.662882387285,0.0
Y1050394,0.630745763646,-0.264903743882,20.0
Y1050395,-1.83680357774,-0.397563291152,10.0
Y1050396,0.904917912689,0.199404673953,20.0
Y1050397,0.356573614603,-0.662882387285,20.0
