username,forum_num_days,video_stop_backward_seek_avg,watched_time_hour,qz_mean,seek_video_avg,watched_time_weekday,active_num_days,video_avg_count,indicator,final_score
Y1050274,1.44294347678,-1.4086302979,0.682208309528,0.523704152731,-1.82248798843,-0.784421140918,-0.453157167426,0.127647535601,1.0,80.0
Y1050275,-0.0890101393943,-0.529106555943,0.319123567572,0.306659813812,-0.399120340971,0.0710329191263,0.00920224523374,-0.0554301022521,0.0,20.0
Y1050276,-0.15678648719,-1.01026457887,1.23060841708,-0.311073503199,-1.88288467798,-0.972329636053,-1.05033063227,0.944909824376,0.0,40.0
Y1050277,-0.895722985457,-0.300383129596,0.525293602318,-0.17432700755,-0.60581554752,0.428546440585,0.556295824339,0.341079027295,0.0,10.0
Y1050278,1.35924669774,-1.39310475734,0.106430627161,0.576001479493,-2.20172192443,0.159947207535,-0.399477103981,0.394124382789,0.0,54.0
Y1050279,1.50909306181,-0.501968929648,-0.0790419316648,0.627155568854,0.776447920039,-0.103811514583,-0.10676157295,0.486101552861,1.0,70.0
Y1050280,-1.17651719518,-0.439013621028,0.229772310934,0.0506573837694,-0.890580188977,-0.0926797892064,-0.814743636078,0.775611479775,0.0,10.0
Y1050281,-1.88849901926,0.214253362587,0.151247512257,-0.0200311827658,0.389211210214,0.356644510542,0.30527035957,-0.505948954301,0.0,10.0
Y1050282,-0.733260587592,-0.265634244435,0.382905520125,0.0864933758677,-0.146917076594,0.0731021407027,-0.220601650617,-0.331827812776,0.0,10.0
Y1050283,-0.454743772423,0.200106686039,-0.545467500353,-0.529621056128,-0.226361724027,-0.447630238355,-0.14898774004,-0.035070197021,0.0,20.0
Y1050284,0.312276965693,-0.599442777681,-0.118371788553,0.730368112695,-0.153994801547,0.218989631489,-0.139122494802,-0.100671555099,0.0,30.0
Y1050285,-3.13825207581,0.454448492326,0.0799863050776,-0.235510332674,0.259146014895,0.17651726106,0.0699241622072,0.00504225426371,0.0,0.0
Y1050286,1.25118583452,-0.22225582209,0.064762776988,-0.213245112198,0.420572209987,-1.16274574534,-0.734908590438,0.237120981616,1.0,72.0
Y1050287,1.89214431054,0.185896228537,-0.844721820916,-0.777157532716,0.209316295889,-1.45802255995,-0.537091400454,-0.670481858142,0.0,50.0
Y1050288,-3.13825207581,0.454448492326,0.0799863050776,-0.235510332674,0.259146014895,0.17651726106,0.0699241622072,0.00504225426371,0.0,0.0
Y1050289,2.86939992735,5.29725666159,2.23641028422,2.04509997665,0.849864395958,-0.618989432109,-0.524012875064,0.000795609421854,1.0,60.0
Y1050290,-3.13825207581,0.454448492326,0.0799863050776,-0.235510332674,0.259146014895,0.17651726106,0.0699241622072,0.00504225426371,0.0,0.0
Y1050291,-0.0134222995772,-0.660236583833,0.898559495004,0.554898926932,0.0846027389202,-1.55204765503,0.0966953786155,0.0624952325401,0.0,40.0
Y1050292,1.52408662575,-0.678179639494,-0.450366370546,1.10664786282,0.400110809114,0.967394078015,0.147127658374,-0.549446613892,0.0,50.0
Y1050293,2.10515383001,-0.687228379711,-0.345481152306,0.763391240508,0.0915733319129,-0.894583961033,1.7916047545,0.285456835196,1.0,80.0
Y1050294,0.873484145897,0.216750635994,-1.13017901242,-0.818929381949,-0.510357849017,-1.08654740985,0.0791225442174,0.0242251140551,0.0,40.0
Y1050295,1.58662255575,-0.938216702297,-0.294194931253,1.04668029158,-0.381181537676,0.625366268999,0.232855697705,-0.329565164332,0.0,30.0
Y1050296,-0.738548959737,-0.286342942288,0.429353177832,0.0479100498983,-0.136347092095,-0.0285045055996,-0.698400147592,-0.137569280628,0.0,20.0
Y1050297,-2.32197037016,0.107522014286,-0.112845870379,0.0277145911956,-0.224776496049,0.3798493269,0.29392007951,0.319309048767,0.0,10.0
Y1050298,-0.144991851195,-0.752492817969,0.545057571045,-0.0223699469284,-1.52545653981,0.0409547835461,0.0569507874059,-0.203120500507,0.0,10.0
Y1050299,-1.75461330311,0.0980092881083,0.500977225827,-0.316915889626,0.009196627895,0.339535799686,0.182048990321,-0.150445801918,0.0,10.0
Y1050300,0.700332791624,-0.634023284193,0.657324314373,-0.18549856353,-0.878664100951,0.714256737027,-0.682641289137,-1.20877505485,0.0,10.0
Y1050301,-0.971229023719,-0.137548667198,0.328119217038,-0.353374151232,-0.575095553568,1.16976320564,0.322435487281,-0.0722223231179,0.0,10.0
Y1050302,-1.26299284916,0.266882526662,-0.47917173383,-0.426200242522,-0.125361384072,0.898308547658,0.204683667638,0.444972208003,0.0,10.0
Y1050303,1.95819160542,0.353587792213,-0.453632994239,-1.43766030874,0.0918808780033,0.351893202669,0.211223856932,-0.689271614928,0.0,20.0
Y1050304,-1.62660478146,-0.0244690276782,-0.0292045734994,0.185712435462,-0.0414729902999,0.400422728041,0.659389266095,0.261616548333,0.0,10.0
