evaluation_num,kfold_split_num,label_val_predict,label_val_test,positive_error,negative_error,positive_error_rate,negative_error_rate
1.0,1.0,68.2469862053,70.0,0.0,-1.7530137947,0.0,-0.02504305421
1.0,1.0,13.7043194797,10.0,3.7043194797,0.0,0.37043194797,0.0
1.0,1.0,38.4007603827,30.0,8.4007603827,0.0,0.28002534609,0.0
1.0,1.0,7.64195940167,10.0,0.0,-2.35804059833,0.0,-0.235804059833
1.0,1.0,8.51094156818,10.0,0.0,-1.48905843182,0.0,-0.148905843182
1.0,1.0,7.64195940167,10.0,0.0,-2.35804059833,0.0,-0.235804059833
1.0,1.0,9.12663546267,10.0,0.0,-0.87336453733,0.0,-0.087336453733
1.0,1.0,7.64195940167,20.0,0.0,-12.3580405983,0.0,-0.617902029917
1.0,1.0,54.8452568644,65.0,0.0,-10.1547431356,0.0,-0.156226817471
1.0,1.0,9.15754010268,20.0,0.0,-10.8424598973,0.0,-0.542122994866
1.0,1.0,73.7844506917,80.0,0.0,-6.2155493083,0.0,-0.0776943663537
1.0,1.0,90.9132988349,93.0,0.0,-2.0867011651,0.0,-0.0224376469366
1.0,1.0,7.64195940167,0.0,7.64195940167,0.0,inf,0.0
1.0,1.0,8.49517289078,20.0,0.0,-11.5048271092,0.0,-0.575241355461
1.0,1.0,10.6731208037,10.0,0.6731208037,0.0,0.06731208037,0.0
1.0,1.0,10.6731208037,10.0,0.6731208037,0.0,0.06731208037,0.0
1.0,1.0,7.64195940167,10.0,0.0,-2.35804059833,0.0,-0.235804059833
1.0,1.0,49.3229739408,40.0,9.3229739408,0.0,0.23307434852,0.0
1.0,1.0,90.648378242,90.0,0.648378242,0.0,0.00720420268889,0.0
1.0,2.0,68.4085684878,80.0,0.0,-11.5914315122,0.0,-0.144892893903
1.0,2.0,31.9257951214,20.0,11.9257951214,0.0,0.59628975607,0.0
1.0,2.0,8.05149542732,10.0,0.0,-1.94850457268,0.0,-0.194850457268
1.0,2.0,10.2524647282,20.0,0.0,-9.7475352718,0.0,-0.48737676359
1.0,2.0,15.9411265819,20.0,0.0,-4.0588734181,0.0,-0.202943670905
1.0,2.0,8.19044089119,10.0,0.0,-1.80955910881,0.0,-0.180955910881
1.0,2.0,71.7165516074,71.0,0.7165516074,0.0,0.0100922761606,0.0
