username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,2.5,250.5,508.5,1.5,30.41666667,42.75,1.5,24.83333333,38,0,8.25,6.5,1.75,0.777529762,0.222470238,7.912424554,5,3.5,0.352678572,8.25,1,0,0,11.75,1.316964286,3.75,0.361607143,10.5,1.526041667,2.25,0.207589286,0,0,22.25,2.843005953,6,0.569196429,28.25,3.412202381,20.75,2.697916667,0,0,36.5,4.412202381,85.5,10.52232143,2.25,2.25,1,2.25,8.744285714,6.5,80
Y1050275,2,110.8333333,488.5,1,11.66666667,18.5,1.5,22.7,86.5,0,10.5,8.75,1.75,0.400735294,0.099264706,6.218676748,2.25,6.75,0.318014706,9.75,0.454044118,0.75,0.022058824,8,0.40257353,21.5,0.775735294,26.25,0.84375,10.75,0.316176471,0,0,34.25,1.24632353,32.25,1.091911765,66.5,2.338235294,45,1.5625,0.75,0.022058824,77,2.838235294,189.25,6.761029413,0.75,0.75,0.25,0.75,2.857142857,3.75,20
Y1050276,1.75,296.375,621.75,1,72.75,72.75,1,35,42.75,0,8,5.75,2.25,0.602163462,0.147836539,2.010076299,5,1,0.069711539,7.5,0.647435898,0.5,0.102564103,1,0.073317308,1.75,0.123798077,25,1.961137821,4,0.407051282,0,0,26,2.034455128,5.75,0.530849359,31.75,2.565304487,36.5,3.015625,0.5,0.102564103,39.75,3.315304487,108.5,8.998798078,2.25,2.25,1.5,2.25,7.089285714,3.75,40
Y1050277,1,302.8333333,661.5,0.75,10.41666667,31.25,1,30.58333333,88.75,0,6.75,6,0.75,0.25,0.25,6.562531843,2,4,0.166666667,6.75,0.5,1,0.041666667,6,0.25,13.75,0.572916667,44.5,1.854166667,10.25,0.427083333,0,0,50.5,2.104166667,24,1,74.5,3.104166668,60.5,2.739583333,1,0.041666667,81.25,3.604166668,217.25,9.489583333,0,0,0,0,0,1.5,10
Y1050278,3.25,135.125,383.5,1.25,18.33333333,29.5,2.25,7.166666667,14.5,0,6.25,4,2.25,0.625,0.375,10.30703306,5,2,0.333333333,4.75,0.725,1.5,0.241666667,1.25,0.125,2.5,0.375,2,0.333333333,1,0.141666667,0,0,3.25,0.458333333,3.5,0.516666667,6.75,0.975,6.75,1.033333333,1.5,0.241666667,13,1.975,28,4.225,2.25,2.25,1.75,2.25,6.863571429,4.5,54
Y1050279,4.5,445.8125,2043.5,4.5,35.97916667,158.5,3.5,51.61666667,186,0,15.5,12.5,3,0.7997003,0.2002997,8.062458153,1.75,6.75,0.405969031,15.25,0.982142857,1,0.059815185,10,0.518481519,13.75,0.761738262,99.5,6.144105894,31.5,2.068931069,0.25,0.019230769,109.5,6.662587413,45.5,2.8499001,155,9.512487511,143.75,9.051448552,1,0.059815185,170.5,10.51248751,470.25,29.13623876,2.25,2.25,2,2.25,9.553571429,6.25,70
Y1050280,2.25,77.95833333,133.25,0.25,6.5,6.5,1.25,8.75,12.5,0,3.5,3,0.5,0.875,0.125,2.22097935,2.75,0.25,0.041666667,3,0.916666667,1.25,0.416666667,0,0,0.25,0.041666667,5.5,1.458333333,1.75,0.333333333,0,0,5.5,1.458333333,2,0.375,7.5,1.833333333,9.5,2.375,1.25,0.416666667,11,2.833333333,29.25,7.458333333,0.5,0.5,0.5,0.5,0.5,2,10
Y1050281,0.5,64.5,64.5,0.25,2,2,0.25,10,10,0,0.75,0.25,0.5,0.083333333,0.166666667,3.05304975,0.25,0.75,0.25,0.75,0.25,0.25,0.083333333,0.75,0.25,1,0.333333333,6.25,2.083333333,0.5,0.166666667,0,0,7,2.333333333,1.5,0.5,8.5,2.833333333,7.25,2.416666667,0.25,0.083333333,9.25,3.083333333,25.25,8.416666668,0,0,0,0,0,1.5,10
Y1050282,1.5,139.5833333,293.5,1.25,10.625,17.5,1.5,17.70833333,42,0,3.75,2.75,1,0.479166667,0.270833333,3.735361779,1.75,1.75,0.333333333,3,0.572916667,1,0.15625,5.25,1.25,2.5,0.34375,8.25,1.28125,1.25,0.1875,0,0,13.5,2.53125,3.75,0.53125,17.25,3.0625,11.5,1.885416667,1,0.15625,21,3.8125,50.75,8.916666667,0,0,0,0,0,3,10
Y1050283,1.75,133.25,254.75,0.75,13.375,23,1.25,12.25,24,0,4,1.5,2.5,0.45,0.3,3.933433669,1.75,1.75,0.25,3.75,0.7,0.5,0.075,4.5,0.525,6.25,0.7,3.5,0.475,1.75,0.5,0.25,0.05,8,1,8.25,1.25,16.25,2.25,8.5,1.6,0.5,0.075,20.25,3,45.5,6.925,0.25,0.25,0.25,0.25,0.428571429,3.25,20
