evaluation_num,kfold_split_num,username,hw_mean,qz_mean,label_val_predict,label_val_test
1,1,104602002,0.339931618869,-0.500814732162,64.8669244386,69.33
1,1,104602007,0.432356529597,1.32224731915,80.0747239449,85.72
1,1,104602014,-2.51203704688,-2.65534261061,31.7546701892,50.89
1,1,104602016,0.551188557336,-0.931720307732,58.1675949226,25.71
1,1,104602019,0.590799232853,-0.666547646026,62.6343994339,80.67
1,1,104602025,-1.15207050772,-1.29633271787,56.994460716,61.38
1,2,104602003,0.260710266646,-0.600254480004,62.277587557,55.3
1,2,104602011,0.551188557336,0.460436167414,70.9530566573,70.97
1,2,104602503,-1.68021285271,-1.52835879716,55.5679580498,48.27
1,2,104602504,0.36633873588,-0.533961314577,63.2718008761,71.49
1,2,104602517,0.0758604463779,0.692462246704,73.9943006497,82.97
1,2,104602525,-1.20488474175,-1.26318613546,59.5722177403,59.69
1,3,104602001,0.300320943351,0.460436167414,72.7296729016,58.21
1,3,104602020,0.0362497696724,0.990781491421,81.3288758411,77.99
1,3,104602024,-2.78931177788,-0.401374983725,74.6942122896,72.67
1,3,104602027,0.353135177374,1.12336782227,78.9057637178,57.3
1,3,104602515,-2.23476231589,-0.533961314577,72.5673333314,60.84
1,3,104602522,-1.16527406623,-0.765987393868,68.8499414553,59.34
1,4,104602008,0.683224143582,0.89134174358,70.817883302,72.53
1,4,104602017,0.326728060363,0.858195160568,78.9962204196,52.83
1,4,104602022,0.36633873588,1.25595415372,76.3930569922,83.56
1,4,104602029,0.537984998831,-0.401374983725,59.2000204102,67.13
1,4,104602513,0.762445494616,1.25595415372,76.6336113333,93.69
1,4,104602519,0.617206349865,1.1896609883,75.4967504097,94.97
1,5,104602005,0.551188557336,0.460436167414,72.3272851136,74.12
1,5,104602006,0.604002791359,-0.732840811453,59.866775734,61.13
1,5,104602018,0.353135177374,0.128970340282,68.2785932797,54.02
1,5,104602023,-1.19168118324,1.05707465685,79.7468165849,95.5
1,5,104602035,0.683224143582,1.32224731915,79.6647459575,80.48
1,5,104602524,-0.201414285807,-1.13059980401,60.7087394072,68.02
1,6,104602030,0.432356529597,-1.66094512802,54.4076003489,54.11
1,6,104602031,0.221099591129,-1.39577246631,57.7845419763,50.2
1,6,104602033,-0.954017127762,-0.567107897589,67.9547670603,82.94
1,6,104602502,0.287117383657,-0.335081818298,65.9014041276,67.38
1,6,104602505,0.181488915612,0.791901995142,75.2717399775,81.71
1,7,104602012,0.630409908371,0.791901995142,73.4420783795,88.14
1,7,104602032,0.48517076362,1.32224731915,81.4894228466,51.06
1,7,104602507,-0.0429715813618,-0.666547646026,63.482820127,39.87
1,7,104602508,0.194692474117,-0.600254480004,64.5697750374,60.32
1,7,104602510,0.643613466876,0.460436167414,71.6946698777,70.1
1,8,104602509,-0.0825822580672,-1.92611779032,49.9593930396,47.45
1,8,104602514,0.392745852891,0.460436167414,69.8546169093,74.75
1,8,104602520,-4.01724273198,-1.46206563174,59.0045026687,48.24
1,8,104602521,0.405949411397,0.427289584999,69.3869788499,80.87
1,8,104602526,0.604002791359,0.394143001988,68.7961912247,76.48
1,9,104602009,0.564392115842,1.12336782227,76.5407347973,79.78
1,9,104602013,0.683224143582,0.659315664289,69.4884006547,66.43
1,9,104602021,0.0230462111667,-0.931720307732,54.7764761609,80.61
1,9,104602028,0.604002791359,1.05707465685,75.5554814951,104.16
1,9,104602516,0.630409908371,0.858195160568,72.5089776553,56.89
1,10,104602010,0.802056171321,1.38854048458,82.5496727606,76.68
1,10,104602037,0.604002791359,0.725608829716,72.7588689132,61.61
1,10,104602501,0.564392115842,-0.633401063015,62.5320942399,56.93
1,10,104602506,0.234303149635,-0.202495487446,60.9540796856,63.62
1,10,104602511,0.696427702087,0.394143001988,69.9515028328,78.77
2,1,104602017,0.326728060363,0.858195160568,79.1164505265,52.83
2,1,104602503,-1.68021285271,-1.52835879716,55.7216992285,48.27
2,1,104602510,0.643613466876,0.460436167414,72.9640332337,70.1
2,1,104602514,0.392745852891,0.460436167414,72.7746191791,74.75
2,1,104602521,0.405949411397,0.427289584999,72.2519485828,80.87
2,1,104602522,-1.16527406623,-0.765987393868,68.3612110337,59.34
2,2,104602027,0.353135177374,1.12336782227,80.2380783479,57.3
2,2,104602029,0.537984998831,-0.401374983725,58.2727212921,67.13
2,2,104602033,-0.954017127762,-0.567107897589,67.0374620026,82.94
2,2,104602505,0.181488915612,0.791901995142,74.3293523307,81.71
2,2,104602516,0.630409908371,0.858195160568,76.6533717092,56.89
2,2,104602526,0.604002791359,0.394143001988,68.951740151,76.48
2,3,104602009,0.564392115842,1.12336782227,76.0007537882,79.78
2,3,104602010,0.802056171321,1.38854048458,79.9756655725,76.68
2,3,104602020,0.0362497696724,0.990781491421,78.4645073545,77.99
2,3,104602028,0.604002791359,1.05707465685,75.0575173922,104.16
2,3,104602037,0.604002791359,0.725608829716,70.2403523171,61.61
2,3,104602511,0.696427702087,0.394143001988,70.130220532,78.77
2,4,104602011,0.551188557336,0.460436167414,70.8059156355,70.97
2,4,104602019,0.590799232853,-0.666547646026,58.4747322595,80.67
2,4,104602031,0.221099591129,-1.39577246631,57.7371359581,50.2
2,4,104602504,0.36633873588,-0.533961314577,60.4543813019,71.49
2,4,104602517,0.0758604463779,0.692462246704,74.3092383328,82.97
2,4,104602520,-4.01724273198,-1.46206563174,58.8000639597,48.24
