username,hw_mean,qz_mean,indicator1,indicator2,indicator3,final_score
104602001,-0.537936511858,0.113218560706,0.0,1.0,0.0,58.21
104602002,0.113761540389,-0.594497446072,1.0,0.0,0.0,69.33
104602003,0.240094015778,-0.608794010718,1.0,0.0,0.0,55.3
104602005,-0.715326702887,-0.0641716303231,0.0,1.0,0.0,74.12
104602006,0.0911022376828,-0.945291176934,1.0,0.0,0.0,61.13
104602007,-1.24069227974,0.629247811808,0.0,0.0,1.0,85.72
104602008,-1.11338621624,0.147161366243,0.0,0.0,1.0,72.53
104602009,-1.19342649726,0.395255512536,0.0,0.0,1.0,79.78
104602010,-1.54898575023,0.414707034961,0.0,0.0,1.0,76.68
104602011,-0.715326702887,-0.0641716303231,0.0,1.0,0.0,70.97
104602012,-1.00572639194,0.114192149664,0.0,0.0,1.0,88.14
104602013,-0.949319002159,-0.0169058478355,0.0,0.0,1.0,66.43
104602014,3.65388919678,-0.10133233589,0.0,0.0,0.0,50.89
104602016,0.269076581161,-1.04857491437,1.0,0.0,0.0,25.71
104602017,-0.837867244706,0.375803990533,0.0,1.0,0.0,52.83
104602018,-0.340900080782,-0.158508476411,0.0,1.0,0.0,54.02
104602019,0.0535622166187,-0.88907850436,1.0,0.0,0.0,80.67
104602020,-0.72622076921,0.674955853306,0.0,1.0,0.0,77.99
104602021,0.64252961557,-0.675121879963,1.0,0.0,0.0,80.61
104602022,-1.14713430331,0.629053094605,0.0,0.0,1.0,83.56
104602023,0.095181187605,1.59011050376,1.0,0.0,0.0,95.5
104602024,2.25615624577,1.68852630019,0.0,0.0,0.0,72.67
104602025,1.7312825239,-0.102008787067,0.0,0.0,0.0,61.38
104602027,-1.04404528349,0.544636726299,0.0,0.0,1.0,57.3
104602028,-1.1745591277,0.320370188451,0.0,0.0,1.0,104.16
104602029,-0.0965978680595,-0.66422781364,0.0,1.0,0.0,67.13
104602030,0.868743329232,-1.48018779717,0.0,0.0,0.0,54.11
104602031,0.830619155718,-1.14330119613,0.0,0.0,0.0,50.2
104602032,-1.27803758276,0.591902508787,0.0,0.0,1.0,51.06
104602033,1.07559782046,0.273586140359,0.0,0.0,0.0,82.94
104602035,-1.41808247077,0.451857620779,0.0,0.0,1.0,80.48
104602037,-0.940177393606,0.0859884543551,0.0,0.0,1.0,61.61
104602501,0.0487966945085,-0.846967679229,1.0,0.0,0.0,56.93
104602502,0.0339159769904,-0.439961274952,1.0,0.0,0.0,67.38
104602503,2.26880277155,0.107377032423,0.0,0.0,0.0,48.27
104602504,0.118527062077,-0.636608270781,1.0,0.0,0.0,71.49
104602505,-0.688291313739,0.431627227861,0.0,1.0,0.0,81.71
104602506,-0.0224914136274,-0.308863278293,0.0,1.0,0.0,63.62
104602507,0.501705857068,-0.44093486391,1.0,0.0,0.0,39.87
104602508,0.286775644554,-0.562112381943,1.0,0.0,0.0,60.32
104602509,1.42036542558,-1.30357647621,0.0,0.0,0.0,47.45
104602510,-0.780680983173,-0.129525910609,0.0,1.0,0.0,70.1
104602511,-0.771149940215,-0.21374756129,0.0,1.0,0.0,78.77
104602513,-1.42722407848,0.348963319429,0.0,0.0,1.0,93.69
104602514,-0.603290792144,0.0478642804195,0.0,1.0,0.0,74.75
104602515,1.95778325433,1.20264792147,0.0,0.0,0.0,60.84
104602516,-1.05260273876,0.161068496483,0.0,0.0,1.0,56.89
104602517,-0.543286186418,0.436003314303,0.0,1.0,0.0,82.97
104602519,-1.27764814752,0.404786556757,0.0,0.0,1.0,94.97
104602520,3.8744561002,1.80678305471,0.0,0.0,0.0,48.24
104602521,-0.589188944701,0.0150897814657,0.0,1.0,0.0,80.87
104602522,1.36560807468,0.282338313665,0.0,0.0,0.0,59.34
104602524,0.941876195546,-0.657033380902,0.0,0.0,0.0,68.02
104602525,1.74518965372,-0.0412253108472,0.0,0.0,0.0,59.69
104602526,-0.705795659088,-0.148393280163,0.0,1.0,0.0,76.48
