username,hw_mean,qz_mean,predict_score,real_score
101302503,9.81666666667,5.16666666667,61.0365955063,61.0
102602012,0.0,0.0,41.7615021219,52.57
103602527,9.56111111117,7.388888889,69.4371550369,47.15
104602001,9.69444444467,7.49999999983,69.8535872611,58.21
104602002,9.5444444445,3.861111111,56.1116609637,69.33
104602003,9.511111111,5.777777778,63.3525394943,55.3
104602005,9.6333333335,6.6666666665,66.7072397936,74.12
104602006,9.9055555555,5.83333333317,63.5526890915,61.13
104602007,9.75000000017,9.888888889,78.8760607189,85.72
104602008,9.92222222233,8.69444444467,74.3599020503,72.53
104602009,9.87222222233,9.05555555533,75.7252014711,79.78
104602010,9.95555555567,9.77777777783,78.4512885382,76.68
104602011,9.80000000017,7.33333333317,69.2214192915,70.97
104602012,9.83333333317,9.27777777783,76.5655855545,88.14
104602013,9.90555555567,8.50000000017,73.6258135532,66.43
104602014,5.92777777783,2.38888888883,50.6394619296,50.89
104602016,9.86666666683,5.33333333333,61.6649352998,25.71
104602017,9.70555555567,9.5,77.4081571659,52.83
104602018,9.63333333333,8.22222222233,72.5832290632,54.02
104602019,9.71666666667,6.55555555533,66.2854754656,80.67
104602020,9.1666666665,9.44444444433,77.2115623018,77.99
104602021,9.27777777767,5.5,62.3089979597,80.61
104602022,9.48888888883,9.8333333335,78.6726298266,83.56
104602023,8.76666666667,9.33333333317,76.8016926639,95.5
104602024,5.14444444467,6.77777777783,67.237423539,72.67
104602025,8.83333333317,3.86111111117,56.129161198,61.38
104602026,3.38888888867,1.4444444445,47.1343783202,25.57
104602027,9.61666666667,9.722222222,78.2497717327,57.3
104602028,9.7055555555,8.99999999983,75.519446329,104.16
104602029,9.777777778,6.77777777783,67.1233985787,67.13
104602030,9.75000000017,3.05555555567,53.0636792891,54.11
104602031,9.71111111117,3.44444444433,54.5336336494,50.2
104602032,9.77222222217,9.888888889,78.8755138366,51.06
104602033,8.38333333333,5.8055555555,63.48522215,82.94
104602035,9.938888889,9.888888889,78.8714122193,80.48
104602037,9.82222222217,9.388888889,76.9855725151,61.61
104602501,9.87222222233,4.25,57.5725917672,56.93
104602502,9.672222222,5.83333333333,63.5584313563,67.38
104602503,6.66111111117,3.33333333333,54.1889797269,48.27
104602504,9.78888888883,6.66666666683,66.7034116187,71.49
104602505,9.727777778,8.4444444445,73.4203318516,81.71
104602506,9.63333333333,6.111111111,64.6086721979,63.62
104602507,9.6333333335,5.38888888867,61.8805343228,39.87
104602508,9.7333333335,5.277777778,61.4583598349,60.32
104602509,9.53333333317,2.6666666665,51.6000140734,47.45
104602510,9.83888888867,7.49999999983,69.8500325262,70.1
104602511,9.9444444445,6.44444444433,65.8601564032,78.77
104602513,9.972222222,9.66666666683,78.0311648577,93.69
104602514,9.73333333317,7.1666666665,68.5934896596,74.75
104602515,5.29444444433,4.16666666683,57.3704643831,60.84
104602516,9.8166666665,8.5,73.6280010818,56.89
104602517,9.51666666683,8.361111111,73.1107420935,82.97
104602519,9.79444444433,9.777777778,78.4552534355,94.97
104602520,4.54444444433,5.22222222217,61.3762000922,48.24
104602521,9.822222222,8.47222222233,73.5229359818,80.87
104602522,7.211111111,5.30555555567,61.6253593558,59.34
104602524,8.88333333317,3.50000000017,54.7638617759,68.02
104602525,7.11111111117,2.722222222,51.8694810039,59.69
104602526,9.9055555555,7.44444444433,69.6385351199,76.48
