username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_pause_backward_seek_sum,video_pause_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
104602001.0,1.75,109.2625,274.6666667,4.708333333,8.416666667000001,0.75,8.833333332999999,2.166666667,1.083333333,0.666666667,1.166666667,9.486111111,8.75,1,58.21
104602002.0,1.8333333330000001,104.7152778,321.9166667,7.25,17.5,0.75,11.25,2.916666667,1.5833333330000001,1.0,1.9166666669999999,9.611111111,8.152777777999999,1,69.33
104602003.0,2.083333333,156.77083330000002,397.1666667,7.416666667,15.75,2.25,15.33333333,2.666666667,1.4166666669999999,0.916666667,1.4166666669999999,9.527777777999999,6.944444445,1,55.3
104602005.0,2.166666667,168.8055556,390.0,16.04166667,27.33333333,1.083333333,10.16666667,6.166666667,1.8333333330000001,1.166666667,2.25,9.833333334,9.166666667000001,1,74.12
104602006.0,1.6666666669999999,86.74305555,231.25,3.541666667,7.083333333,1.083333333,9.583333332999999,3.416666667,1.333333333,1.083333333,1.6666666669999999,9.763888889,6.583333333,1,61.13
104602007.0,2.416666667,177.675,673.5,3.5722222230000003,14.5,2.916666667,25.16666667,2.75,1.5833333330000001,1.333333333,2.0,9.625,9.722222222000001,1,85.72
104602008.0,1.5,46.61388889,174.25,6.916666667,6.916666667,0.583333333,4.833333333,3.166666667,1.25,0.75,1.333333333,9.855555556,9.236111111,1,72.53
104602009.0,0.5,112.80555559999999,180.25,10.29166667,13.58333333,0.0,1.083333333,3.583333333,1.4166666669999999,0.916666667,1.5833333330000001,9.730555556,9.638888889,1,79.78
104602010.0,1.5,144.5694444,422.25,10.20833333,13.33333333,1.083333333,9.75,3.333333333,1.4166666669999999,1.0,1.5,9.988888889,9.944444445,1,76.68
104602011.0,2.916666667,122.8867064,395.75,10.85,19.66666667,1.5,16.08333333,3.416666667,1.333333333,1.083333333,1.4166666669999999,9.75,8.833333332999999,1,70.97
104602012.0,3.333333333,181.96527780000002,606.75,12.00694444,23.5,4.0,30.66666667,5.0,1.5833333330000001,1.083333333,2.0,9.833333332999999,8.694444445,1,88.14
104602013.0,1.5,107.5277778,306.5,5.625,8.25,2.333333333,15.41666667,2.833333333,1.4166666669999999,0.916666667,1.5,9.863888889,8.75,1,66.43
104602016.0,0.666666667,16.44444444,35.08333333,0.0,0.0,0.0,1.75,2.416666667,0.833333333,0.75,0.916666667,9.716666667,6.333333333,0,25.71
