username,qz_mean,mt_online_num_day,indicator,predict_score,real_score
Y1050243,-1.20361009415,0.717275443689,0.0,8.33072929907,10.0
Y1050244,-1.20361009415,0.717275443689,0.0,8.33072929907,10.0
Y1050245,-1.20361009415,0.717275443689,0.0,8.33072929907,10.0
Y1050246,2.38752794704,2.78530424425,0.0,28.565979355,30.0
Y1050247,0.0165674877361,0.305550267765,0.0,25.5185695673,30.0
Y1050248,0.249628454995,-0.331736902476,0.0,33.9711801281,30.0
Y1050249,0.373895905066,-0.860230555529,0.0,40.2242383412,30.0
Y1050250,-1.20361009415,0.717275443689,0.0,8.33072929907,10.0
Y1050251,-1.20361009415,0.717275443689,0.0,8.33072929907,0.0
Y1050252,-1.20361009415,0.717275443689,0.0,8.33072929907,10.0
Y1050253,-0.768436025402,0.282101374939,0.0,17.12893869,10.0
Y1050254,-0.239942372349,0.157833924868,0.0,24.0731945633,20.0
Y1050255,1.34553858681,-0.214968425346,0.0,44.9059621833,40.0
Y1050256,0.397344797892,-0.0752270423908,0.0,33.2170027844,30.0
Y1050257,0.42829266366,-0.914627314123,0.0,41.3240145151,40.0
Y1050258,-1.20361009415,0.717275443689,0.0,8.33072929907,10.0
Y1050259,3.54533381039,1.22327217792,1.0,91.7844376194,80.0
Y1050260,0.210705629285,-0.697040279748,0.0,36.9249098196,50.0
Y1050261,0.886915625236,-0.564797869734,1.0,79.184641097,82.0
Y1050262,0.739199282338,-0.821307729819,0.0,43.869165693,50.0
Y1050263,0.319499146472,-0.805833796935,0.0,39.1244621674,40.0
Y1050264,0.591482939441,-1.0778175899,0.0,44.6233430367,40.0
Y1050265,0.319499146472,-0.805833796935,0.0,39.1244621674,20.0
Y1050266,0.537086180847,-1.02342083131,0.0,43.5235668628,40.0
Y1050267,0.793596040932,-0.875704488413,0.0,44.9689418668,30.0
Y1050268,0.373895905066,-0.860230555529,1.0,76.2938910891,60.0
Y1050269,-0.659642508215,0.173307857752,0.0,19.3284910377,10.0
Y1050270,1.46980603688,-0.743462078399,0.0,51.1590203964,40.0
Y1050271,-1.20361009415,0.717275443689,0.0,8.33072929907,0.0
Y1050272,-1.20361009415,0.717275443689,0.0,8.33072929907,0.0
Y1050273,0.273077347821,0.453266610663,0.0,26.9639445713,40.0
Y9999986,0.832518866642,-0.510401111141,0.0,42.0152121753,58.0
Y9999987,-0.986023059777,0.499688409314,0.0,12.7298339945,27.0
Y9999988,0.210705629285,-0.697040279748,0.0,36.9249098196,33.0
Y9999989,0.482689422254,-0.969024072717,0.0,42.423790689,59.0
Y9999990,0.645879698035,-1.1322143485,1.0,81.7927719584,63.0
Y9999991,0.373895905066,-0.860230555529,0.0,40.2242383412,36.0
Y9999992,0.319499146472,-0.805833796935,0.0,39.1244621674,38.0
Y9999993,0.700276456629,-1.18661110709,0.0,46.8228953844,49.0
Y9999994,-0.822832783996,0.336498133533,0.0,16.0291625161,20.0
Y9999995,0.265102387879,-0.751437038342,0.0,38.0246859935,57.0
Y9999996,0.42829266366,-0.914627314123,0.0,41.3240145151,54.0
Y9999997,0.482689422254,-0.969024072717,0.0,42.423790689,58.0
Y9999998,-0.278865198059,-0.207469452404,0.0,27.0269242548,49.0
Y9999999,0.972260249597,-1.45859490006,1.0,88.3914290016,73.0
